BULUNGAN~PESO~1~TZO01~PESO~LEPAK ARU
BULUNGAN~TANJUNG PALAS~4~TZO01~TANJUNG PALAS~TANJUNG PALAS ILIR/HILIR
BULUNGAN~TANJUNG PALAS~5~TZO01~TANJUNG PALAS~KARANG ANYAR
BULUNGAN~TANJUNG PALAS~6~TZO01~TANJUNG PALAS~TERAS BARU
BULUNGAN~TANJUNG PALAS~7~TZO01~TANJUNG PALAS~TERAS NAWANG
BULUNGAN~TANJUNG PALAS~8~TZO01~TANJUNG PALAS~TANJUNG PALAS ULU/HULU
BULUNGAN~TANJUNG PALAS~9~TZO01~TANJUNG PALAS~TANJUNG PALAS TENGAH
BULUNGAN~TANJUNG PALAS BARAT~1~TZO01~TANJUNG PALAS BARAT~LONG BELUAH
BULUNGAN~TANJUNG PALAS BARAT~2~TZO01~TANJUNG PALAS BARAT~LONG PARI
BULUNGAN~TANJUNG PALAS BARAT~3~TZO01~TANJUNG PALAS BARAT~LONG SAM
BULUNGAN~TANJUNG PALAS BARAT~4~TZO01~TANJUNG PALAS BARAT~MARA HILIR
BULUNGAN~TANJUNG PALAS BARAT~5~TZO01~TANJUNG PALAS BARAT~MARA SATU
BULUNGAN~TANJUNG PALAS TENGAH~1~TZO01~TANJUNG PALAS TENGAH~SALIM BATU
BULUNGAN~TANJUNG PALAS TENGAH~2~TZO01~TANJUNG PALAS TENGAH~SILVA RAHAYU
BULUNGAN~TANJUNG PALAS TENGAH~3~TZO01~TANJUNG PALAS TENGAH~TANJUNG BUKA
BULUNGAN~TANJUNG PALAS TIMUR~1~TZO01~TANJUNG PALAS TIMUR~TANAH KUCING
BULUNGAN~TANJUNG PALAS UTARA~1~TZO01~TANJUNG PALAS UTARA~ARDI MULYA
BULUNGAN~TANJUNG PALAS UTARA~2~TZO01~TANJUNG PALAS UTARA~KARANG AGUNG
BULUNGAN~TANJUNG PALAS UTARA~3~TZO01~TANJUNG PALAS UTARA~KELUBIR
BULUNGAN~TANJUNG PALAS UTARA~4~TZO01~TANJUNG PALAS UTARA~PANCA AGUNG
BULUNGAN~TANJUNG PALAS UTARA~5~TZO01~TANJUNG PALAS UTARA~PIMPING
BULUNGAN~TANJUNG PALAS UTARA~6~TZO01~TANJUNG PALAS UTARA~RUHUI RAHAYU
BULUNGAN~TANJUNG SELOR~1~TZO01~TANJUNG SELOR~TANJUNG SELOR ULU/HULU
BULUNGAN~TANJUNG SELOR~2~TZO01~TANJUNG SELOR~TANJUNG SELOR ILIR/HILIR
BULUNGAN~TANJUNG SELOR~3~TZO01~TANJUNG SELOR~APUNG
BULUNGAN~TANJUNG SELOR~4~TZO01~TANJUNG SELOR~BUMI RAHAYU
BULUNGAN~TANJUNG SELOR~5~TZO01~TANJUNG SELOR~GUNUNG SARI
BULUNGAN~TANJUNG SELOR~6~TZO01~TANJUNG SELOR~GUNUNG SERIANG
BULUNGAN~TANJUNG SELOR~7~TZO01~TANJUNG SELOR~JELARAI SELOR
BULUNGAN~TANJUNG SELOR~8~TZO01~TANJUNG SELOR~TANJUNG SELOR TIMUR
BULUNGAN~TANJUNG SELOR~9~TZO01~TANJUNG SELOR~TENGKAPAK
