SANANA~LEDE~1~SAN01~LEDE~LEDE
SANANA~SULABESI BARAT~8~SAN01~SULABESI BARAT~KABAU PANTAI
SANANA~SULABESI BARAT~9~SAN01~SULABESI BARAT~NAHI
SANANA~SULABESI BARAT~10~SAN01~SULABESI BARAT~ONA
SANANA~SULABESI BARAT~11~SAN01~SULABESI BARAT~WAIGAI
SANANA~SULABESI BARAT~12~SAN01~SULABESI BARAT~WAINIB
SANANA~SULABESI SELATAN~1~SAN01~SULABESI SELATAN~FUATA
SANANA~SULABESI SELATAN~2~SAN01~SULABESI SELATAN~SEKOM SKUM
SANANA~SULABESI SELATAN~3~SAN01~SULABESI SELATAN~WALINA WAI INA
SANANA~SULABESI SELATAN~4~SAN01~SULABESI SELATAN~FUATA
SANANA~SULABESI SELATAN~5~SAN01~SULABESI SELATAN~SEKOM SKUM
SANANA~SULABESI SELATAN~6~SAN01~SULABESI SELATAN~WALINA WAI INA
SANANA~SULABESI TENGAH~1~SAN01~SULABESI TENGAH~BEGA
SANANA~SULABESI TENGAH~2~SAN01~SULABESI TENGAH~FATIBA
SANANA~SULABESI TENGAH~3~SAN01~SULABESI TENGAH~SOAMOLA SOAMOLE
SANANA~SULABESI TENGAH~4~SAN01~SULABESI TENGAH~WAIBOGA
SANANA~SULABESI TENGAH~5~SAN01~SULABESI TENGAH~WAIMAN
SANANA~SULABESI TENGAH~6~SAN01~SULABESI TENGAH~BEGA
SANANA~SULABESI TENGAH~7~SAN01~SULABESI TENGAH~FATIBA
SANANA~SULABESI TENGAH~8~SAN01~SULABESI TENGAH~SOAMOLA SOAMOLE
SANANA~SULABESI TENGAH~9~SAN01~SULABESI TENGAH~WAIBOGA
SANANA~SULABESI TENGAH~10~SAN01~SULABESI TENGAH~WAIMAN
SANANA~SULABESI TIMUR~1~SAN01~SULABESI TIMUR~BALCHA BALEHA
SANANA~SULABESI TIMUR~2~SAN01~SULABESI TIMUR~FATKAUYON
SANANA~SULABESI TIMUR~3~SAN01~SULABESI TIMUR~WAIGOIYOFA WAI GOYOFA
SANANA~SULABESI TIMUR~4~SAN01~SULABESI TIMUR~WAILIA
SANANA~SULABESI TIMUR~5~SAN01~SULABESI TIMUR~BALCHA BALEHA
SANANA~SULABESI TIMUR~6~SAN01~SULABESI TIMUR~FATKAUYON
SANANA~SULABESI TIMUR~7~SAN01~SULABESI TIMUR~WAIGOIYOFA WAI GOYOFA
SANANA~SULABESI TIMUR~8~SAN01~SULABESI TIMUR~WAILIA
SANANA~TALIABU BARAT~1~SAN01~TALIABU BARAT~BOBONG
SANANA~TALIABU BARAT~2~SAN01~TALIABU BARAT~KAWALO
SANANA~TALIABU BARAT~3~SAN01~TALIABU BARAT~LIMBO
SANANA~TALIABU BARAT~4~SAN01~TALIABU BARAT~TALO TALLO
SANANA~TALIABU BARAT~5~SAN01~TALIABU BARAT~BOBONG
SANANA~TALIABU BARAT~6~SAN01~TALIABU BARAT~KAWALO
SANANA~TALIABU BARAT~7~SAN01~TALIABU BARAT~LIMBO
SANANA~TALIABU BARAT~8~SAN01~TALIABU BARAT~TALO TALLO
SANANA~TALIABU SELATAN~1~SAN01~TALIABU SELATAN~BAHU
SANANA~TALIABU SELATAN~2~SAN01~TALIABU SELATAN~BAPENU
SANANA~TALIABU SELATAN~3~SAN01~TALIABU SELATAN~KILO
SANANA~TALIABU SELATAN~4~SAN01~TALIABU SELATAN~PANCADO PENCADO
SANANA~TALIABU SELATAN~5~SAN01~TALIABU SELATAN~TABONA
SANANA~TALIABU SELATAN~6~SAN01~TALIABU SELATAN~BAHU
SANANA~TALIABU SELATAN~7~SAN01~TALIABU SELATAN~BAPENU
SANANA~TALIABU SELATAN~8~SAN01~TALIABU SELATAN~KILO
SANANA~TALIABU SELATAN~9~SAN01~TALIABU SELATAN~PANCADO PENCADO
SANANA~TALIABU SELATAN~10~SAN01~TALIABU SELATAN~TABONA
SANANA~TALIABU TIMUR~1~SAN01~TALIABU TIMUR~KABUNU
SANANA~TALIABU TIMUR~2~SAN01~TALIABU TIMUR~KAWADANG
SANANA~TALIABU TIMUR~3~SAN01~TALIABU TIMUR~LOSENG LOSSENG
SANANA~TALIABU TIMUR~4~SAN01~TALIABU TIMUR~SOFAN
SANANA~TALIABU TIMUR~5~SAN01~TALIABU TIMUR~WAIKADAI
SANANA~TALIABU TIMUR~6~SAN01~TALIABU TIMUR~KABUNU
SANANA~TALIABU TIMUR~7~SAN01~TALIABU TIMUR~KAWADANG
SANANA~TALIABU TIMUR~8~SAN01~TALIABU TIMUR~LOSENG LOSSENG
SANANA~TALIABU TIMUR~9~SAN01~TALIABU TIMUR~SOFAN
SANANA~TALIABU TIMUR~10~SAN01~TALIABU TIMUR~WAIKADAI
SANANA~TALIABU TIMUR SELATAN~1~SAN01~TALIABU TIMUR SELATAN~PARIGI
SANANA~TALIABU TIMUR SELATAN~2~SAN01~TALIABU TIMUR SELATAN~PENU
SANANA~TALIABU TIMUR SELATAN~3~SAN01~TALIABU TIMUR SELATAN~SAMUYA
SANANA~TALIABU TIMUR SELATAN~4~SAN01~TALIABU TIMUR SELATAN~PARIGI
SANANA~TALIABU TIMUR SELATAN~5~SAN01~TALIABU TIMUR SELATAN~PENU
SANANA~TALIABU TIMUR SELATAN~6~SAN01~TALIABU TIMUR SELATAN~SAMUYA
SANANA~TALIABU UTARA~1~SAN01~TALIABU UTARA~GELA
SANANA~TALIABU UTARA~2~SAN01~TALIABU UTARA~JORJOGA
SANANA~TALIABU UTARA~3~SAN01~TALIABU UTARA~MANANGA
SANANA~TALIABU UTARA~4~SAN01~TALIABU UTARA~MINTON
SANANA~TALIABU UTARA~5~SAN01~TALIABU UTARA~NUNCA
SANANA~TALIABU UTARA~6~SAN01~TALIABU UTARA~SAHU
SANANA~TALIABU UTARA~7~SAN01~TALIABU UTARA~TANJUNG UNA
SANANA~TALIABU UTARA~8~SAN01~TALIABU UTARA~GELA
SANANA~TALIABU UTARA~9~SAN01~TALIABU UTARA~JORJOGA
SANANA~TALIABU UTARA~10~SAN01~TALIABU UTARA~MANANGA
SANANA~TALIABU UTARA~11~SAN01~TALIABU UTARA~MINTON
SANANA~TALIABU UTARA~12~SAN01~TALIABU UTARA~NUNCA
SANANA~TALIABU UTARA~13~SAN01~TALIABU UTARA~SAHU
SANANA~TALIABU UTARA~14~SAN01~TALIABU UTARA~TANJUNG UNA
