PASAMAN~BONJOL~1~LSG01~BONJOL~AIA ABU
PASAMAN~LUBUK SIKAPING~7~LSG01~LUBUK SIKAPING~KAMPUANG NAN VI
PASAMAN~LUBUK SIKAPING~8~LSG01~LUBUK SIKAPING~KAMPUNG PADANG PARAMAN DAREH
PASAMAN~LUBUK SIKAPING~9~LSG01~LUBUK SIKAPING~KOTO TANGAH
PASAMAN~LUBUK SIKAPING~10~LSG01~LUBUK SIKAPING~KOTO TINGGI
PASAMAN~LUBUK SIKAPING~11~LSG01~LUBUK SIKAPING~PADANG SARAI
PASAMAN~LUBUK SIKAPING~12~LSG01~LUBUK SIKAPING~RUMAH NAN XXX
PASAMAN~LUBUK SIKAPING~13~LSG01~LUBUK SIKAPING~SALIBAWAN
PASAMAN~LUBUK SIKAPING~14~LSG01~LUBUK SIKAPING~SUNGAI PANDAHAN
PASAMAN~LUBUK SIKAPING~15~LSG01~LUBUK SIKAPING~TALAGO
PASAMAN~LUBUK SIKAPING~16~LSG01~LUBUK SIKAPING~TANJUNG ALAI
PASAMAN~LUBUK SIKAPING~17~LSG01~LUBUK SIKAPING~TANJUNG BERINGIN/BARINGIN
PASAMAN~LUBUK SIKAPING~18~LSG01~LUBUK SIKAPING~TELUK AMBUN
PASAMAN~MAPAT TUNGGUL~1~LSG01~MAPAT TUNGGUL~BOTUNG BUSUK
PASAMAN~MAPAT TUNGGUL~2~LSG01~MAPAT TUNGGUL~LUBUK/LUBUAK GADANG
PASAMAN~MAPAT TUNGGUL~3~LSG01~MAPAT TUNGGUL~MUARA/MUARO TAIS BARAT
PASAMAN~MAPAT TUNGGUL~4~LSG01~MAPAT TUNGGUL~MUARA/MUARO TAIS TENGAH
PASAMAN~MAPAT TUNGGUL~5~LSG01~MAPAT TUNGGUL~MUARA/MUARO TAIS TIMUR
PASAMAN~MAPAT TUNGGUL~6~LSG01~MAPAT TUNGGUL~PINTU PADANG
PASAMAN~MAPAT TUNGGUL SELATAN~1~LSG01~MAPAT TUNGGUL SELATAN~BANGKOK
PASAMAN~MAPAT TUNGGUL SELATAN~2~LSG01~MAPAT TUNGGUL SELATAN~BATANG TIMBALUN
PASAMAN~MAPAT TUNGGUL SELATAN~3~LSG01~MAPAT TUNGGUL SELATAN~MUARO SEI/SUNGAI LOLO
PASAMAN~MAPAT TUNGGUL SELATAN~4~LSG01~MAPAT TUNGGUL SELATAN~SILAYANG KAMPUANG PARIK SILAYANG
PASAMAN~PADANG GELUGUR~1~LSG01~PADANG GELUGUR~BAHAGIA
PASAMAN~PADANG GELUGUR~2~LSG01~PADANG GELUGUR~CUBADAK
PASAMAN~PADANG GELUGUR~3~LSG01~PADANG GELUGUR~MAKMUR
PASAMAN~PADANG GELUGUR~4~LSG01~PADANG GELUGUR~PADANG GELUGUR
PASAMAN~PADANG GELUGUR~5~LSG01~PADANG GELUGUR~SELAMAT
PASAMAN~PADANG GELUGUR~6~LSG01~PADANG GELUGUR~SENTOSA
PASAMAN~PANTI~1~LSG01~PANTI~AMPANG GADANG
PASAMAN~PANTI~2~LSG01~PANTI~BAHAGIA PANTI
PASAMAN~PANTI~3~LSG01~PANTI~KUAMANG
PASAMAN~PANTI~4~LSG01~PANTI~LUNDAR
PASAMAN~PANTI~5~LSG01~PANTI~MURNI PANTI
PASAMAN~PANTI~6~LSG01~PANTI~PANTI
PASAMAN~PANTI~7~LSG01~PANTI~PETOK
PASAMAN~PANTI~8~LSG01~PANTI~RAMBAH LANAI
PASAMAN~PANTI~9~LSG01~PANTI~SENTOSA PANTI
PASAMAN~PANTI~10~LSG01~PANTI~SONTANG ANTI
PASAMAN~RAO~1~LSG01~RAO~MUARO PAYENGGARAHAN
PASAMAN~RAO~2~LSG01~RAO~PADANG ARO
PASAMAN~RAO~3~LSG01~RAO~PADANG METINGGI/MANTINGGI
PASAMAN~RAO~4~LSG01~RAO~TARUNGTARUNG TARUANGTARUANG
PASAMAN~RAO~5~LSG01~RAO~TARUNGTARUNG SELATAN
PASAMAN~RAO~6~LSG01~RAO~TARUNGTARUNG UTARA
PASAMAN~RAO SELATAN~1~LSG01~RAO SELATAN~BERINGIN SETIA
PASAMAN~RAO SELATAN~2~LSG01~RAO SELATAN~KAMPUNG TUJUH
PASAMAN~RAO SELATAN~3~LSG01~RAO SELATAN~KAUMAN
PASAMAN~RAO SELATAN~4~LSG01~RAO SELATAN~LANSEK KADOK
PASAMAN~RAO SELATAN~5~LSG01~RAO SELATAN~LUBUAK LAYANG
PASAMAN~RAO SELATAN~6~LSG01~RAO SELATAN~RAMBAHAN
PASAMAN~RAO SELATAN~7~LSG01~RAO SELATAN~SERASI
PASAMAN~RAO SELATAN~8~LSG01~RAO SELATAN~TANJUNG BETUNG
PASAMAN~RAO UTARA~1~LSG01~RAO UTARA~KOTO NOPAN SAIYO
PASAMAN~RAO UTARA~2~LSG01~RAO UTARA~KOTO RAJO
PASAMAN~RAO UTARA~3~LSG01~RAO UTARA~LANGGUANG SAIYO
PASAMAN~RAO UTARA~4~LSG01~RAO UTARA~LANGGUANG SEPAKAT
PASAMAN~SIMPANG ALAHAN MATI~1~LSG01~SIMPANG ALAHAN MATI~ALAHAN MATI
PASAMAN~SIMPANG ALAHAN MATI~2~LSG01~SIMPANG ALAHAN MATI~BUKIK MALINTANG
PASAMAN~SIMPANG ALAHAN MATI~3~LSG01~SIMPANG ALAHAN MATI~GUGUK MALINTANG
PASAMAN~SIMPANG ALAHAN MATI~4~LSG01~SIMPANG ALAHAN MATI~SIMPANG SELATAN
PASAMAN~SIMPANG ALAHAN MATI~5~LSG01~SIMPANG ALAHAN MATI~SIMPANG UTARA
PASAMAN~TIGO NAGARI~1~LSG01~TIGO NAGARI~BINJAI
PASAMAN~TIGO NAGARI~2~LSG01~TIGO NAGARI~KAMPUANG KAJAI
PASAMAN~TIGO NAGARI~3~LSG01~TIGO NAGARI~LADANG PANJANG PASA LADANG PANJANG
PASAMAN~TIGO NAGARI~4~LSG01~TIGO NAGARI~MALAMPAH UTARA
PASAMAN~TIGO NAGARI~5~LSG01~TIGO NAGARI~MARINGGIANG
PASAMAN~TIGO NAGARI~6~LSG01~TIGO NAGARI~PADANG KUBU
PASAMAN~TIGO NAGARI~7~LSG01~TIGO NAGARI~PADANG SAWAH
PASAMAN~TIGO NAGARI~8~LSG01~TIGO NAGARI~PARIK BATU
PASAMAN~TIGO NAGARI~9~LSG01~TIGO NAGARI~PARIK LUBANG
PASAMAN~TIGO NAGARI~10~LSG01~TIGO NAGARI~SIPARAYO
PASAMAN~TIGO NAGARI~11~LSG01~TIGO NAGARI~TARANTANG TUNGGANG
