SUMBAWA BESAR~ALAS~1~SWW01~ALAS~BARU
SUMBAWA BESAR~BUER~5~SWW01~BUER~PULAU KAUNG
SUMBAWA BESAR~BUER~6~SWW01~BUER~TARUSA
SUMBAWA BESAR~EMPANG~1~SWW01~EMPANG~BOAL
SUMBAWA BESAR~EMPANG~2~SWW01~EMPANG~BUNGA EJA
SUMBAWA BESAR~EMPANG~3~SWW01~EMPANG~EMPANG ATAS
SUMBAWA BESAR~EMPANG~4~SWW01~EMPANG~EMPANG BAWAH
SUMBAWA BESAR~EMPANG~5~SWW01~EMPANG~GAPIT
SUMBAWA BESAR~EMPANG~6~SWW01~EMPANG~JOTANG
SUMBAWA BESAR~EMPANG~7~SWW01~EMPANG~JOTANG BERU
SUMBAWA BESAR~EMPANG~8~SWW01~EMPANG~LAMENTA
SUMBAWA BESAR~EMPANG~9~SWW01~EMPANG~ONGKO
SUMBAWA BESAR~EMPANG~10~SWW01~EMPANG~PAMANTO
SUMBAWA BESAR~LABANGKA~1~SWW01~LABANGKA~JAYA MAKMUR
SUMBAWA BESAR~LABANGKA~2~SWW01~LABANGKA~LABANGKA
SUMBAWA BESAR~LABANGKA~3~SWW01~LABANGKA~SEKOKAT
SUMBAWA BESAR~LABANGKA~4~SWW01~LABANGKA~SUKA DAMAI
SUMBAWA BESAR~LABANGKA~5~SWW01~LABANGKA~SUKA MULYA
SUMBAWA BESAR~LABUHAN BADAS~1~SWW01~LABUHAN BADAS~LABUHAN BADAS
SUMBAWA BESAR~LABUHAN BADAS~2~SWW01~LABUHAN BADAS~KARANG DIMA
SUMBAWA BESAR~LABUHAN BADAS~3~SWW01~LABUHAN BADAS~LABUHAN SUMBAWA
SUMBAWA BESAR~LABUHAN BADAS~4~SWW01~LABUHAN BADAS~LABUHAN AJI
SUMBAWA BESAR~LABUHAN BADAS~5~SWW01~LABUHAN BADAS~SEBOTOK
SUMBAWA BESAR~LANTUNG~1~SWW01~LANTUNG~AI MUAL
SUMBAWA BESAR~LANTUNG~2~SWW01~LANTUNG~LANTUNG
SUMBAWA BESAR~LANTUNG~3~SWW01~LANTUNG~PADESA
SUMBAWA BESAR~LANTUNG~4~SWW01~LANTUNG~SEPUKUR
SUMBAWA BESAR~LAPE~1~SWW01~LAPE~LAPE
SUMBAWA BESAR~LAPE~2~SWW01~LAPE~LABUHAN KURIS
SUMBAWA BESAR~LAPE~3~SWW01~LAPE~DETE
SUMBAWA BESAR~LAPE~4~SWW01~LAPE~HIJRAH
SUMBAWA BESAR~LENANGGUAR~1~SWW01~LENANGGUAR~LEDANG
SUMBAWA BESAR~LENANGGUAR~2~SWW01~LENANGGUAR~LENANGGUAR
SUMBAWA BESAR~LENANGGUAR~3~SWW01~LENANGGUAR~TATEBAL
SUMBAWA BESAR~LOPOK~1~SWW01~LOPOK~PUNGKIT
SUMBAWA BESAR~LOPOK~2~SWW01~LOPOK~BERORA
SUMBAWA BESAR~LOPOK~3~SWW01~LOPOK~LOPOK
SUMBAWA BESAR~LOPOK~4~SWW01~LOPOK~LANGAM
SUMBAWA BESAR~LOPOK~5~SWW01~LOPOK~MAMAK
SUMBAWA BESAR~LOPOK~6~SWW01~LOPOK~LOPOK BIRU
SUMBAWA BESAR~LOPOK~7~SWW01~LOPOK~TATEDE
SUMBAWA BESAR~LUNYUK~1~SWW01~LUNYUK~EMANG LESTARI
SUMBAWA BESAR~LUNYUK~2~SWW01~LUNYUK~JAMU
SUMBAWA BESAR~LUNYUK~3~SWW01~LUNYUK~LUNYUK ODE
SUMBAWA BESAR~LUNYUK~4~SWW01~LUNYUK~LUNYUK REA
SUMBAWA BESAR~LUNYUK~5~SWW01~LUNYUK~PADA SUKA
SUMBAWA BESAR~LUNYUK~6~SWW01~LUNYUK~PERUNG
SUMBAWA BESAR~LUNYUK~7~SWW01~LUNYUK~SUKA MAJU
SUMBAWA BESAR~MARONGE~1~SWW01~MARONGE~LABUHAN SANGORO
SUMBAWA BESAR~MARONGE~2~SWW01~MARONGE~MARONGE
SUMBAWA BESAR~MARONGE~3~SWW01~MARONGE~PEMASAR
SUMBAWA BESAR~MARONGE~4~SWW01~MARONGE~SIMU
SUMBAWA BESAR~MOYO HILIR~1~SWW01~MOYO HILIR~MOYO
SUMBAWA BESAR~MOYO HILIR~2~SWW01~MOYO HILIR~KAKIANG
SUMBAWA BESAR~MOYO HILIR~3~SWW01~MOYO HILIR~NGERU
SUMBAWA BESAR~MOYO HILIR~4~SWW01~MOYO HILIR~BERARE
SUMBAWA BESAR~MOYO HILIR~5~SWW01~MOYO HILIR~POTO
SUMBAWA BESAR~MOYO HILIR~6~SWW01~MOYO HILIR~SERADING
SUMBAWA BESAR~MOYO HILIR~7~SWW01~MOYO HILIR~OLAT RAWA
SUMBAWA BESAR~MOYO HILIR~8~SWW01~MOYO HILIR~BATU BANGKA
SUMBAWA BESAR~MOYO HILIR~9~SWW01~MOYO HILIR~MOYO MEKAR
SUMBAWA BESAR~MOYO HILIR~10~SWW01~MOYO HILIR~LABUHAN IJUK
SUMBAWA BESAR~MOYO HULU~1~SWW01~MOYO HULU~BATUBULAN
SUMBAWA BESAR~MOYO HULU~2~SWW01~MOYO HULU~BATUTERING
SUMBAWA BESAR~MOYO HULU~3~SWW01~MOYO HULU~BRANG REA
SUMBAWA BESAR~MOYO HULU~4~SWW01~MOYO HULU~LESENG
SUMBAWA BESAR~MOYO HULU~5~SWW01~MOYO HULU~LITO
SUMBAWA BESAR~MOYO HULU~6~SWW01~MOYO HULU~MAMAN
SUMBAWA BESAR~MOYO HULU~7~SWW01~MOYO HULU~MARGA KARYA
SUMBAWA BESAR~MOYO HULU~8~SWW01~MOYO HULU~MOKONG
SUMBAWA BESAR~MOYO HULU~9~SWW01~MOYO HULU~PERNEK
SUMBAWA BESAR~MOYO HULU~10~SWW01~MOYO HULU~SEBASANG
SUMBAWA BESAR~MOYO HULU~11~SWW01~MOYO HULU~SEMAMUNG
SUMBAWA BESAR~MOYO HULU~12~SWW01~MOYO HULU~SEMPE
SUMBAWA BESAR~MOYO UTARA~1~SWW01~MOYO UTARA~KUKIN
SUMBAWA BESAR~MOYO UTARA~2~SWW01~MOYO UTARA~PENYARING
SUMBAWA BESAR~MOYO UTARA~3~SWW01~MOYO UTARA~PUNGKIT
SUMBAWA BESAR~MOYO UTARA~4~SWW01~MOYO UTARA~SEBEWE
SUMBAWA BESAR~MOYO UTARA~5~SWW01~MOYO UTARA~SONGKAR
SUMBAWA BESAR~ORONG TELU~1~SWW01~ORONG TELU~KELAWIS
SUMBAWA BESAR~ORONG TELU~2~SWW01~ORONG TELU~MUNGKIN
SUMBAWA BESAR~ORONG TELU~3~SWW01~ORONG TELU~SEBEOK
SUMBAWA BESAR~ORONG TELU~4~SWW01~ORONG TELU~SENAWANG
SUMBAWA BESAR~PLAMPANG~1~SWW01~PLAMPANG~BRANG KOLONG
SUMBAWA BESAR~PLAMPANG~2~SWW01~PLAMPANG~MUER
SUMBAWA BESAR~PLAMPANG~3~SWW01~PLAMPANG~PLAMPANG
SUMBAWA BESAR~PLAMPANG~4~SWW01~PLAMPANG~SELANTE
SUMBAWA BESAR~PLAMPANG~5~SWW01~PLAMPANG~SEPAKAT
SUMBAWA BESAR~PLAMPANG~6~SWW01~PLAMPANG~SEPAYUNG
SUMBAWA BESAR~PLAMPANG~7~SWW01~PLAMPANG~SP I PRODE
SUMBAWA BESAR~PLAMPANG~8~SWW01~PLAMPANG~SP II PRODE
SUMBAWA BESAR~PLAMPANG~9~SWW01~PLAMPANG~SP III PRODE
SUMBAWA BESAR~PLAMPANG~10~SWW01~PLAMPANG~TELUK SANTONG
SUMBAWA BESAR~PLAMPANG~11~SWW01~PLAMPANG~USAR
SUMBAWA BESAR~RHEE~1~SWW01~RHEE~LUK
SUMBAWA BESAR~RHEE~2~SWW01~RHEE~RHEE
SUMBAWA BESAR~RHEE~3~SWW01~RHEE~RHEE LOKA
SUMBAWA BESAR~RHEE~4~SWW01~RHEE~SAMPE
SUMBAWA BESAR~ROPANG~1~SWW01~ROPANG~LAWIN
SUMBAWA BESAR~ROPANG~2~SWW01~ROPANG~LEBANGKAR
SUMBAWA BESAR~ROPANG~3~SWW01~ROPANG~LEBIN
SUMBAWA BESAR~ROPANG~4~SWW01~ROPANG~LEBIN MEKAR
SUMBAWA BESAR~ROPANG~5~SWW01~ROPANG~RANAN
SUMBAWA BESAR~ROPANG~6~SWW01~ROPANG~ROPANG
SUMBAWA BESAR~SUMBAWA~1~SWW01~SUMBAWA~SAMUPUIN
SUMBAWA BESAR~SUMBAWA~2~SWW01~SUMBAWA~BRANG BARA
SUMBAWA BESAR~SUMBAWA~3~SWW01~SUMBAWA~PEKAT
SUMBAWA BESAR~SUMBAWA~4~SWW01~SUMBAWA~SEKETENG
SUMBAWA BESAR~SUMBAWA~5~SWW01~SUMBAWA~BUGIS
SUMBAWA BESAR~SUMBAWA~6~SWW01~SUMBAWA~LEMEPH
SUMBAWA BESAR~SUMBAWA~7~SWW01~SUMBAWA~BRANG BIJI
SUMBAWA BESAR~SUMBAWA~8~SWW01~SUMBAWA~UMA SIMA
SUMBAWA BESAR~TARANO~1~SWW01~TARANO~BANDARAN
SUMBAWA BESAR~TARANO~2~SWW01~TARANO~BANTULANTEH
SUMBAWA BESAR~TARANO~3~SWW01~TARANO~LABUAN AJI
SUMBAWA BESAR~TARANO~4~SWW01~TARANO~LABUAN BONTONG
SUMBAWA BESAR~TARANO~5~SWW01~TARANO~LABUAN JAMBU
SUMBAWA BESAR~TARANO~6~SWW01~TARANO~MATA
SUMBAWA BESAR~TARANO~7~SWW01~TARANO~TOLO OI
SUMBAWA BESAR~UNTER IWES~1~SWW01~UNTER IWES~PELAT
SUMBAWA BESAR~UNTER IWES~2~SWW01~UNTER IWES~KEREKAH
SUMBAWA BESAR~UNTER IWES~3~SWW01~UNTER IWES~BOAK
SUMBAWA BESAR~UNTER IWES~4~SWW01~UNTER IWES~JOROK
SUMBAWA BESAR~UNTER IWES~5~SWW01~UNTER IWES~KERATO
SUMBAWA BESAR~UNTER IWES~6~SWW01~UNTER IWES~PUNGKA
SUMBAWA BESAR~UNTER IWES~7~SWW01~UNTER IWES~UMA BERINGIN
SUMBAWA BESAR~UNTER IWES~8~SWW01~UNTER IWES~NIJANG
SUMBAWA BESAR~UTAN~1~SWW01~UTAN~BALE BRANG
SUMBAWA BESAR~UTAN~2~SWW01~UTAN~JOROK
SUMBAWA BESAR~UTAN~3~SWW01~UTAN~LABUAN BAJO
SUMBAWA BESAR~UTAN~4~SWW01~UTAN~MOTONG
SUMBAWA BESAR~UTAN~5~SWW01~UTAN~ORONG BAWA
SUMBAWA BESAR~UTAN~6~SWW01~UTAN~PUKAT
SUMBAWA BESAR~UTAN~7~SWW01~UTAN~SABEDO
SUMBAWA BESAR~UTAN~8~SWW01~UTAN~STOWE BRANG
SUMBAWA BESAR~UTAN~9~SWW01~UTAN~TENGAH
