KAPUAS HULU~HULU GURUNG~11~PSU01~HULU GURUNG~NANGA SERAWAK
KAPUAS HULU~HULU GURUNG~12~PSU01~HULU GURUNG~NANGA YEN
KAPUAS HULU~HULU GURUNG~13~PSU01~HULU GURUNG~NANGA TAMAN
KAPUAS HULU~HULU GURUNG~14~PSU01~HULU GURUNG~SEJAHTERA MANDIRI
KAPUAS HULU~KALIS~1~PSU01~KALIS~BAHENAP
KAPUAS HULU~KALIS~2~PSU01~KALIS~KENSURAY
KAPUAS HULU~KALIS~3~PSU01~KALIS~NANGA DANAU
KAPUAS HULU~KALIS~4~PSU01~KALIS~NANGA KALIS
KAPUAS HULU~KALIS~5~PSU01~KALIS~NANGA LEBANGAN
KAPUAS HULU~KALIS~6~PSU01~KALIS~NANGA RAUN
KAPUAS HULU~KALIS~7~PSU01~KALIS~NANGA SEBINTANG
KAPUAS HULU~KALIS~8~PSU01~KALIS~NANGA TUBUK
KAPUAS HULU~MENTEBAH~1~PSU01~MENTEBAH~KEPALA GUNUNG
KAPUAS HULU~MENTEBAH~2~PSU01~MENTEBAH~NANGA MENTEBAH
KAPUAS HULU~MENTEBAH~3~PSU01~MENTEBAH~SUKA MAJU
KAPUAS HULU~MENTEBAH~4~PSU01~MENTEBAH~TANJUNG
KAPUAS HULU~MENTEBAH~5~PSU01~MENTEBAH~TEKALONG
KAPUAS HULU~PURING KENCANA~1~PSU01~PURING KENCANA~KANTUK ASAM
KAPUAS HULU~PURING KENCANA~2~PSU01~PURING KENCANA~KANTUK BUNUT
KAPUAS HULU~PURING KENCANA~3~PSU01~PURING KENCANA~LANGAU
KAPUAS HULU~PURING KENCANA~4~PSU01~PURING KENCANA~MERAKAI PANJANG
KAPUAS HULU~PURING KENCANA~5~PSU01~PURING KENCANA~SUNGAI ANTU
KAPUAS HULU~PURING KENCANA~6~PSU01~PURING KENCANA~SUNGAI ASIN
KAPUAS HULU~PUTUSSIBAU SELATAN~1~PSU01~PUTUSSIBAU SELATAN~KEDAMIN HILIR
KAPUAS HULU~PUTUSSIBAU SELATAN~2~PSU01~PUTUSSIBAU SELATAN~KEDAMIN HULU
