TABANAN~BATURITI~1~TNW03~BATURITI~PEREAN
TABANAN~SELEMADEG TIMUR~7~TNW01~SELEMADEG TIMUR~MAMBANG
TABANAN~SELEMADEG TIMUR~8~TNW01~SELEMADEG TIMUR~MEGATI
TABANAN~SELEMADEG TIMUR~9~TNW01~SELEMADEG TIMUR~TANGGUNTITI
TABANAN~SELEMADEG TIMUR~10~TNW01~SELEMADEG TIMUR~TEGAL MENGKEB
TABANAN~TABANAN~1~TNW01~TABANAN~SUDIMARA
TABANAN~TABANAN~2~TNW01~TABANAN~GUBUG
TABANAN~TABANAN~3~TNW01~TABANAN~BONGAN
TABANAN~TABANAN~4~TNW01~TABANAN~DELOD PEKEN
TABANAN~TABANAN~5~TNW01~TABANAN~DAUH PEKEN
TABANAN~TABANAN~6~TNW01~TABANAN~DAJAN PEKEN
TABANAN~TABANAN~7~TNW01~TABANAN~DENBANTAS
TABANAN~TABANAN~8~TNW01~TABANAN~SUBAMIA
TABANAN~TABANAN~9~TNW01~TABANAN~WANASARI
TABANAN~TABANAN~10~TNW01~TABANAN~TUNJUK
