MEDAN~AMPLAS~1~MES01~AMPLAS~HARJOSARI I
MEDAN~MAIMUN~4~MES01~MAIMUN~KAMPUNG BARU
MEDAN~MAIMUN~5~MES01~MAIMUN~SEI MATI
MEDAN~MAIMUN~6~MES01~MAIMUN~SUKA RAJA
MEDAN~MEDAN TIMUR~1~MES08~MEDAN TIMUR~GANG BUNTU
MEDAN~MEDAN TIMUR~2~MES08~MEDAN TIMUR~PERINTIS
MEDAN~MEDAN TIMUR~3~MES08~MEDAN TIMUR~SIDODADI
MEDAN~MEDAN TIMUR~4~MES08~MEDAN TIMUR~DURIAN GAHARU
MEDAN~MEDAN TIMUR~5~MES08~MEDAN TIMUR~GLUGUR BARAT I
MEDAN~MEDAN TIMUR~6~MES08~MEDAN TIMUR~GLUGUR BARAT II
MEDAN~MEDAN TIMUR~7~MES08~MEDAN TIMUR~PULO BRAYAN BENGKEL
MEDAN~MEDAN TIMUR~8~MES08~MEDAN TIMUR~PULO BRAYAN BENGKEL BARU
MEDAN~MEDAN TIMUR~9~MES08~MEDAN TIMUR~PULO BRAYAN DARAT I
MEDAN~MEDAN TIMUR~10~MES08~MEDAN TIMUR~PULO BRAYAN DARAT II
MEDAN~MEDAN TIMUR~11~MES08~MEDAN TIMUR~GAHARU
MEDAN~PERCUT SEI TUAN~1~MES07~PERCUT SEI TUAN~AMPLAS
MEDAN~PERCUT SEI TUAN~2~MES07~PERCUT SEI TUAN~BANDAR KHALIFAH KLIPPA
MEDAN~PERCUT SEI TUAN~3~MES07~PERCUT SEI TUAN~BANDAR KHALIPAH KEBON
MEDAN~PERCUT SEI TUAN~4~MES07~PERCUT SEI TUAN~BANDAR SETIA
MEDAN~PERCUT SEI TUAN~5~MES07~PERCUT SEI TUAN~CINTA DAMAI DAME
MEDAN~PERCUT SEI TUAN~6~MES07~PERCUT SEI TUAN~CINTA RAKYAT
MEDAN~PERCUT SEI TUAN~7~MES07~PERCUT SEI TUAN~KENANGAN
MEDAN~PERCUT SEI TUAN~8~MES07~PERCUT SEI TUAN~KENANGAN BARU
MEDAN~PERCUT SEI TUAN~9~MES07~PERCUT SEI TUAN~KOLAM
MEDAN~PERCUT SEI TUAN~10~MES07~PERCUT SEI TUAN~LAUT DENDANG
MEDAN~PERCUT SEI TUAN~11~MES07~PERCUT SEI TUAN~MEDAN ESTATE
MEDAN~PERCUT SEI TUAN~12~MES07~PERCUT SEI TUAN~PEMATANG LALANG
MEDAN~PERCUT SEI TUAN~13~MES07~PERCUT SEI TUAN~PERCUT
MEDAN~PERCUT SEI TUAN~14~MES07~PERCUT SEI TUAN~SAENTIS
MEDAN~PERCUT SEI TUAN~15~MES07~PERCUT SEI TUAN~SAMPALI
MEDAN~PERCUT SEI TUAN~16~MES07~PERCUT SEI TUAN~SEI ROTAN
MEDAN~PERCUT SEI TUAN~17~MES07~PERCUT SEI TUAN~SUMBER REJO TIMUR
MEDAN~PERCUT SEI TUAN~18~MES07~PERCUT SEI TUAN~TANJUNG REJO
MEDAN~PERCUT SEI TUAN~19~MES07~PERCUT SEI TUAN~TANJUNG SELAMAT
MEDAN~PERCUT SEI TUAN~20~MES07~PERCUT SEI TUAN~TEMBUNG
MEDAN~PERJUANGAN~1~MES08~PERJUANGAN~PANDAU HILIR
MEDAN~PERJUANGAN~2~MES08~PERJUANGAN~PAHLAWAN
MEDAN~PERJUANGAN~3~MES08~PERJUANGAN~SEI KERA HULU
MEDAN~PERJUANGAN~4~MES08~PERJUANGAN~SEI KERA HILIR I
MEDAN~PERJUANGAN~5~MES08~PERJUANGAN~SEI KERAH HILIR II
MEDAN~PERJUANGAN~6~MES08~PERJUANGAN~SIDORAME BARAT I
MEDAN~PERJUANGAN~7~MES08~PERJUANGAN~SIDORAME BARAT II
MEDAN~PERJUANGAN~8~MES08~PERJUANGAN~SIDORAME TIMUR
MEDAN~PERJUANGAN~9~MES08~PERJUANGAN~TEGAL REJO
MEDAN~PETISAH~1~MES08~PETISAH~PETISAH TENGAH
MEDAN~PETISAH~2~MES08~PETISAH~SEKIP
MEDAN~PETISAH~3~MES08~PETISAH~SEI PUTIH BARAT
MEDAN~PETISAH~4~MES08~PETISAH~SEI PUTIH TENGAH
MEDAN~PETISAH~5~MES08~PETISAH~SEI PUTIH TIMUR I
MEDAN~PETISAH~6~MES08~PETISAH~SEI PUTIH TIMUR II
MEDAN~PETISAH~7~MES08~PETISAH~SEI SIKAMBING D
MEDAN~POLONIA~1~MES01~POLONIA~ANGGRUNG
MEDAN~POLONIA~2~MES01~POLONIA~MADRAS HULU
MEDAN~POLONIA~3~MES01~POLONIA~POLONIA
MEDAN~POLONIA~4~MES01~POLONIA~SARI REJO
MEDAN~POLONIA~5~MES01~POLONIA~SUKA DAMAI
MEDAN~SELAYANG~1~MES09~SELAYANG~BERINGIN
MEDAN~SELAYANG~2~MES09~SELAYANG~PADANG BULAN SELAYANG I
MEDAN~SELAYANG~3~MES09~SELAYANG~PADANG BULAN SELAYANG II
MEDAN~SELAYANG~4~MES09~SELAYANG~SEMPAKATA
MEDAN~SELAYANG~5~MES09~SELAYANG~TANJUNG SARI
MEDAN~SELAYANG~6~MES09~SELAYANG~ASAM KUMBANG
MEDAN~SUNGGAL~1~MES09~SUNGGAL~BABURA SUNGGAL
MEDAN~SUNGGAL~2~MES09~SUNGGAL~SEI SIKAMBING B
MEDAN~SUNGGAL~3~MES09~SUNGGAL~SIMPANG TANJUNG
MEDAN~SUNGGAL~4~MES09~SUNGGAL~TANJUNG REJO
MEDAN~SUNGGAL~5~MES09~SUNGGAL~LALANG
MEDAN~SUNGGAL~6~MES09~SUNGGAL~SUNGGAL
MEDAN~TEMBUNG~1~MES07~TEMBUNG~INDRA KASIH
MEDAN~TEMBUNG~2~MES07~TEMBUNG~SIDOREJO
MEDAN~TEMBUNG~3~MES07~TEMBUNG~SIDOREJO HILIR
MEDAN~TEMBUNG~4~MES07~TEMBUNG~BANDAR SELAMAT
MEDAN~TEMBUNG~5~MES07~TEMBUNG~BANTAN
MEDAN~TEMBUNG~6~MES07~TEMBUNG~BANTAN TIMUR
MEDAN~TEMBUNG~7~MES07~TEMBUNG~TEMBUNG
MEDAN~TUNTUNGAN~1~MES09~TUNTUNGAN~TANJUNG SELAMAT
MEDAN~TUNTUNGAN~2~MES09~TUNTUNGAN~SIMALINGKAR B
MEDAN~TUNTUNGAN~3~MES09~TUNTUNGAN~SIMPANG SELAYANG
MEDAN~TUNTUNGAN~4~MES09~TUNTUNGAN~KEMENANGAN TANI
MEDAN~TUNTUNGAN~5~MES09~TUNTUNGAN~LAU CIH
MEDAN~TUNTUNGAN~6~MES09~TUNTUNGAN~NAMU GAJAH
MEDAN~TUNTUNGAN~7~MES09~TUNTUNGAN~SIDOMULYO
MEDAN~TUNTUNGAN~8~MES09~TUNTUNGAN~LADANG BAMBU
MEDAN~TUNTUNGAN~9~MES09~TUNTUNGAN~MANGGA
