SUWAWA~BONE~1~SUW01~BONE~BILOLANTUNA
SUWAWA~KABILA~4~SUW01~KABILA~OLUHUTA UTARA
SUWAWA~KABILA~5~SUW01~KABILA~PADENGO
SUWAWA~KABILA~6~SUW01~KABILA~PAUWO
SUWAWA~KABILA~7~SUW01~KABILA~POOWO
SUWAWA~KABILA~8~SUW01~KABILA~POOWO BARAT
SUWAWA~KABILA~9~SUW01~KABILA~TALANGO
SUWAWA~KABILA~10~SUW01~KABILA~TANGGILINGO
SUWAWA~KABILA~11~SUW01~KABILA~TOTO SELATAN
SUWAWA~KABILA~12~SUW01~KABILA~TUMBIHE
SUWAWA~KABILA BONE~1~SUW01~KABILA BONE~BILUANGO
SUWAWA~KABILA BONE~2~SUW01~KABILA BONE~BOTUBARANI
SUWAWA~KABILA BONE~3~SUW01~KABILA BONE~HUANGOBOTU
SUWAWA~KABILA BONE~4~SUW01~KABILA BONE~BINTALAHE
SUWAWA~KABILA BONE~5~SUW01~KABILA BONE~BOTUTONUO BOTUTONUA
SUWAWA~KABILA BONE~6~SUW01~KABILA BONE~MODELOMO
SUWAWA~KABILA BONE~7~SUW01~KABILA BONE~MOLOTABU MOLUTABU
SUWAWA~KABILA BONE~8~SUW01~KABILA BONE~OLELE
SUWAWA~KABILA BONE~9~SUW01~KABILA BONE~OLUHUTA
SUWAWA~SUWAWA~1~SUW01~SUWAWA~BOLUDAWA
SUWAWA~SUWAWA~2~SUW01~SUWAWA~BUBE
SUWAWA~SUWAWA~3~SUW01~SUWAWA~BUBE BARU
SUWAWA~SUWAWA~4~SUW01~SUWAWA~BUBEYA
SUWAWA~SUWAWA~5~SUW01~SUWAWA~HULUDUOTAMO
SUWAWA~SUWAWA~6~SUW01~SUWAWA~TINELO
SUWAWA~SUWAWA~7~SUW01~SUWAWA~TINGKOHUBU
SUWAWA~SUWAWA~8~SUW01~SUWAWA~ULANTA
SUWAWA~SUWAWA SELATAN~1~SUW01~SUWAWA SELATAN~BONDAWUNA
SUWAWA~SUWAWA SELATAN~2~SUW01~SUWAWA SELATAN~BONEDAA
SUWAWA~SUWAWA SELATAN~3~SUW01~SUWAWA SELATAN~BULONTALA
SUWAWA~SUWAWA SELATAN~4~SUW01~SUWAWA SELATAN~BULONTALA TIMUR
SUWAWA~SUWAWA SELATAN~5~SUW01~SUWAWA SELATAN~LIBUNGO
SUWAWA~SUWAWA SELATAN~6~SUW01~SUWAWA SELATAN~MOLINTOGUPO
SUWAWA~SUWAWA TENGAH~1~SUW01~SUWAWA TENGAH~ALELE
SUWAWA~SUWAWA TENGAH~2~SUW01~SUWAWA TENGAH~DUANO
SUWAWA~SUWAWA TENGAH~3~SUW01~SUWAWA TENGAH~LOMBONGO
SUWAWA~SUWAWA TENGAH~4~SUW01~SUWAWA TENGAH~LOMPOTOO
SUWAWA~SUWAWA TENGAH~5~SUW01~SUWAWA TENGAH~TOLOMATO
SUWAWA~SUWAWA TIMUR~1~SUW01~SUWAWA TIMUR~BANGIO
SUWAWA~SUWAWA TIMUR~2~SUW01~SUWAWA TIMUR~DUMBAYABULAN
SUWAWA~SUWAWA TIMUR~3~SUW01~SUWAWA TIMUR~DUMBAYABULAN TIMUR
SUWAWA~SUWAWA TIMUR~4~SUW01~SUWAWA TIMUR~PINOGU
SUWAWA~SUWAWA TIMUR~5~SUW01~SUWAWA TIMUR~TILANGOBULA
SUWAWA~SUWAWA TIMUR~6~SUW01~SUWAWA TIMUR~TULABOLO
SUWAWA~SUWAWA TIMUR~7~SUW01~SUWAWA TIMUR~TULABOLO TIMUR
SUWAWA~TAPA~1~SUW01~TAPA~DUNGGALA
SUWAWA~TAPA~2~SUW01~TAPA~KERAMAT
SUWAWA~TAPA~3~SUW01~TAPA~LANGGE
SUWAWA~TAPA~4~SUW01~TAPA~MERANTI
SUWAWA~TAPA~5~SUW01~TAPA~TALULOBUTU
SUWAWA~TAPA~6~SUW01~TAPA~TALULOBUTU SELATAN
SUWAWA~TAPA~7~SUW01~TAPA~TALUMOPATU
SUWAWA~TILONGKABILA~1~SUW01~TILONGKABILA~BONGOIME
SUWAWA~TILONGKABILA~2~SUW01~TILONGKABILA~BONGOPINI
SUWAWA~TILONGKABILA~3~SUW01~TILONGKABILA~BUTU
SUWAWA~TILONGKABILA~4~SUW01~TILONGKABILA~ILOHELUMA
SUWAWA~TILONGKABILA~5~SUW01~TILONGKABILA~LONUO
SUWAWA~TILONGKABILA~6~SUW01~TILONGKABILA~MOTILANGO MOOTILANGO
SUWAWA~TILONGKABILA~7~SUW01~TILONGKABILA~MOUTONG
SUWAWA~TILONGKABILA~8~SUW01~TILONGKABILA~PERMATA
SUWAWA~TILONGKABILA~9~SUW01~TILONGKABILA~TAMBOO
SUWAWA~TILONGKABILA~10~SUW01~TILONGKABILA~TOTO UTARA
SUWAWA~TILONGKABILA~11~SUW01~TILONGKABILA~TUNGGULO
