TAMBRAUW~ABUN~1~FEF01~ABUN~SAUBEBA
TAMBRAUW~MIYAH~2~FEF01~MIYAH~MIRI/ IBIAH
TAMBRAUW~MIYAH~3~FEF01~MIYAH~REVEWES RUVEWES
TAMBRAUW~MIYAH~4~FEF01~MIYAH~SIAKWA
TAMBRAUW~MIYAH~5~FEF01~MIYAH~TABAMSERE
TAMBRAUW~MIYAH~6~FEF01~MIYAH~YABUOW JABOUW
TAMBRAUW~MORAID~1~FEF01~MORAID~DELA DELLA
TAMBRAUW~MORAID~2~FEF01~MORAID~MALAWARSAI MALAWORSAI
TAMBRAUW~MORAID~3~FEF01~MORAID~MEGA
TAMBRAUW~MORAID~4~FEF01~MORAID~SALEWOK SELEWOK
TAMBRAUW~MORAID~5~FEF01~MORAID~SELEKEBU SELEKOPI
TAMBRAUW~MORAID~6~FEF01~MORAID~SENGKEDUK SAENGKEDUK
TAMBRAUW~MORAID~7~FEF01~MORAID~SIWIS
TAMBRAUW~MUBRANI~1~FEF01~MUBRANI~ARFU
TAMBRAUW~MUBRANI~2~FEF01~MUBRANI~ATORI
TAMBRAUW~MUBRANI~3~FEF01~MUBRANI~BAWEY
TAMBRAUW~MUBRANI~4~FEF01~MUBRANI~BIJANFOU BIJAMFOU/BUANFOU
TAMBRAUW~MUBRANI~5~FEF01~MUBRANI~MERIAMBEKE MERIAMBEKER
TAMBRAUW~MUBRANI~6~FEF01~MUBRANI~WARU
TAMBRAUW~MUBRANI~7~FEF01~MUBRANI~WASNEBRI WARSNEMBRI/WASNEMBRI
TAMBRAUW~SAUSAPOR~1~FEF01~SAUSAPOR~BAUN
TAMBRAUW~SAUSAPOR~2~FEF01~SAUSAPOR~BIKAR
TAMBRAUW~SAUSAPOR~3~FEF01~SAUSAPOR~HOPMARE HOPMAREI
TAMBRAUW~SAUSAPOR~4~FEF01~SAUSAPOR~KWOOR KWOR
TAMBRAUW~SAUSAPOR~5~FEF01~SAUSAPOR~SAUSAPOR
TAMBRAUW~SAUSAPOR~6~FEF01~SAUSAPOR~WARDANDI
TAMBRAUW~SAUSAPOR~7~FEF01~SAUSAPOR~WERUR BERUR
TAMBRAUW~SAUSAPOR~8~FEF01~SAUSAPOR~WERUR BESAR
TAMBRAUW~SENOPI~1~FEF01~SENOPI~AFRAWI
TAMBRAUW~SENOPI~2~FEF01~SENOPI~ASITI WAUSIN
TAMBRAUW~SENOPI~3~FEF01~SENOPI~KEBAR TENGAH
TAMBRAUW~SENOPI~4~FEF01~SENOPI~SENOPI
TAMBRAUW~YEMBUN~1~FEF01~YEMBUN~BAMUS
TAMBRAUW~YEMBUN~2~FEF01~YEMBUN~MEFNANYAM METNAYAM
TAMBRAUW~YEMBUN~3~FEF01~YEMBUN~SUMBEKAS
TAMBRAUW~YEMBUN~4~FEF01~YEMBUN~BAMUS WAIMAN BAMUSWAYMAN
TAMBRAUW~YEMBUN~5~FEF01~YEMBUN~BAUN BAUM
