NABIRE~MAKIMI~1~NBX01~MAKIMI~BIHA
NABIRE~UWAPA~8~NBX01~UWAPA~LOKODIMI BOKOMIDI
NABIRE~UWAPA~9~NBX01~UWAPA~MARGAJAYA
NABIRE~UWAPA~10~NBX01~UWAPA~OGIYAI OGIAYWAISAI
NABIRE~UWAPA~11~NBX01~UWAPA~TAGAUTO TADAUTU
NABIRE~UWAPA~12~NBX01~UWAPA~TOPO
NABIRE~UWAPA~13~NBX01~UWAPA~TOPO JAYA
NABIRE~UWAPA~14~NBX01~UWAPA~URUMUSU
NABIRE~UWAPA~15~NBX01~UWAPA~YAGEUGI
NABIRE~WANGGAR~1~NBX01~WANGGAR~BUMI MULYA BUMIMULIA
NABIRE~WANGGAR~2~NBX01~WANGGAR~KARADIRI
NABIRE~WANGGAR~3~NBX01~WANGGAR~WANGGAR MAKMUR
NABIRE~WANGGAR~4~NBX01~WANGGAR~WANGGAR SARI
NABIRE~WANGGAR~5~NBX01~WANGGAR~WIRASKA
NABIRE~WAPOGA~1~NBX01~WAPOGA~KAMARISANOI
NABIRE~WAPOGA~2~NBX01~WAPOGA~KEUW
NABIRE~WAPOGA~3~NBX01~WAPOGA~SAMANUI
NABIRE~WAPOGA~4~NBX01~WAPOGA~TAUMI
NABIRE~WAPOGA~5~NBX01~WAPOGA~TOTOBERI
NABIRE~YARO~1~NBX01~YARO~BOMOPAI
NABIRE~YARO~2~NBX01~YARO~ORORODO
NABIRE~YARO~3~NBX01~YARO~PARAUTO
NABIRE~YARO~4~NBX01~YARO~JAYA MUKTI
NABIRE~YARO~5~NBX01~YARO~WANGGAR PANTAI
NABIRE~YARO~6~NBX01~YARO~YARO MAKMUR
NABIRE~YAUR~1~NBX01~YAUR~AKUDIOMI AKUIDIOMI
NABIRE~YAUR~2~NBX01~YAUR~SIMA
NABIRE~YAUR~3~NBX01~YAUR~WAMI WAMIJAYA
NABIRE~YAUR~4~NBX01~YAUR~YAUR
