KUPANG~KOTA RAJA~11~KOE05~KOTA RAJA~NAIKOTEN II
KUPANG~KOTA RAJA~12~KOE05~KOTA RAJA~AIR NONA
KUPANG~KOTA RAJA~13~KOE05~KOTA RAJA~KUANINO
KUPANG~KOTA RAJA~14~KOE05~KOTA RAJA~NUNLEU
KUPANG~KUPANG BARAT~1~KOE01~KUPANG BARAT~BATAKTE
KUPANG~KUPANG BARAT~2~KOE01~KUPANG BARAT~BOLOK
KUPANG~KUPANG BARAT~3~KOE01~KUPANG BARAT~KUANHEUN
KUPANG~KUPANG BARAT~4~KOE01~KUPANG BARAT~LIFULEO
KUPANG~KUPANG BARAT~5~KOE01~KUPANG BARAT~MANULAI I
KUPANG~KUPANG BARAT~6~KOE01~KUPANG BARAT~NITNEO
KUPANG~KUPANG BARAT~7~KOE01~KUPANG BARAT~OEMATANUNU
KUPANG~KUPANG BARAT~8~KOE01~KUPANG BARAT~OENESU
KUPANG~KUPANG BARAT~9~KOE01~KUPANG BARAT~SUMLILI
KUPANG~KUPANG BARAT~10~KOE01~KUPANG BARAT~TABLOLONG
KUPANG~KUPANG BARAT~11~KOE01~KUPANG BARAT~TESABELA
KUPANG~KUPANG TIMUR~1~KOE01~KUPANG TIMUR~BABAU
KUPANG~KUPANG TIMUR~2~KOE01~KUPANG TIMUR~MANUSAK
KUPANG~KUPANG TIMUR~3~KOE01~KUPANG TIMUR~MERDEKA
KUPANG~KUPANG TIMUR~4~KOE01~KUPANG TIMUR~NAIBONAT
KUPANG~KUPANG TIMUR~5~KOE01~KUPANG TIMUR~NUNKURUS
KUPANG~KUPANG TIMUR~6~KOE01~KUPANG TIMUR~OEFAFI
KUPANG~KUPANG TIMUR~7~KOE01~KUPANG TIMUR~OELATIMO
KUPANG~KUPANG TIMUR~8~KOE01~KUPANG TIMUR~OESAO II, III
KUPANG~KUPANG TIMUR~9~KOE01~KUPANG TIMUR~PUKDALE
KUPANG~KUPANG TIMUR~10~KOE01~KUPANG TIMUR~TANAH PUTIH
KUPANG~KUPANG TIMUR~11~KOE01~KUPANG TIMUR~TUAPUKAN
KUPANG~KUPANG TIMUR~12~KOE01~KUPANG TIMUR~TUATUKA
KUPANG~MAULAFA~1~KOE02~MAULAFA~MAULAFA
KUPANG~MAULAFA~2~KOE02~MAULAFA~NAIKOLAN
