BERAU~BATU PUTIH~1~BEU01~BATU PUTIH~KAYU INDAH
BERAU~BATU PUTIH~2~BEU01~BATU PUTIH~SUMBER AGUNG
BERAU~BATU PUTIH~3~BEU01~BATU PUTIH~TEMBUDAN
BERAU~BATU PUTIH~4~BEU01~BATU PUTIH~AMPEN MEDANG
BERAU~BATU PUTIH~5~BEU01~BATU PUTIH~BALIK KUKUK (BALIKUKUP)
BERAU~BATU PUTIH~6~BEU01~BATU PUTIH~BATU PUTIH
BERAU~BATU PUTIH~7~BEU01~BATU PUTIH~LOBANG KELATAK
BERAU~BIATAN~1~BEU01~BIATAN~BIATAN BAPINANG
BERAU~SAMBALIUNG~7~BEU01~SAMBALIUNG~PESAYAN
BERAU~SAMBALIUNG~8~BEU01~SAMBALIUNG~PILANJAU
BERAU~SAMBALIUNG~9~BEU01~SAMBALIUNG~RANTAU PANJANG
BERAU~SAMBALIUNG~10~BEU01~SAMBALIUNG~SAMBALIUNG
BERAU~SAMBALIUNG~11~BEU01~SAMBALIUNG~SUARAN
BERAU~SAMBALIUNG~12~BEU01~SAMBALIUNG~SUKAN TENGAH
BERAU~SAMBALIUNG~13~BEU01~SAMBALIUNG~TANJUNG PERANGAT
BERAU~SAMBALIUNG~14~BEU01~SAMBALIUNG~TUMBIT DAYAK
BERAU~SEGAH~1~BEU01~SEGAH~BUKIT MAKMUR
BERAU~SEGAH~2~BEU01~SEGAH~GUNUNG SARI
BERAU~SEGAH~3~BEU01~SEGAH~HARAPAN JAYA
BERAU~SEGAH~4~BEU01~SEGAH~LONG AYAN
BERAU~SEGAH~5~BEU01~SEGAH~LONG AYAP
BERAU~SEGAH~6~BEU01~SEGAH~LONG LAAY/LAAI
BERAU~SEGAH~7~BEU01~SEGAH~PANDAN SARI
BERAU~SEGAH~8~BEU01~SEGAH~PUNAN MAHKAM
BERAU~SEGAH~9~BEU01~SEGAH~PUNAN MALINAU
BERAU~SEGAH~10~BEU01~SEGAH~PUNAN SEGAH
BERAU~SEGAH~11~BEU01~SEGAH~TEPIAN BUAH
BERAU~TABALAR~1~BEU01~TABALAR~BUYUNG-BUYUNG (RADAK)
BERAU~TABALAR~2~BEU01~TABALAR~HARAPAN MAJU
BERAU~TABALAR~3~BEU01~TABALAR~SEMURUT
BERAU~TABALAR~4~BEU01~TABALAR~TABALAR MUARA
BERAU~TABALAR~5~BEU01~TABALAR~TABALAR ULU
BERAU~TABALAR~6~BEU01~TABALAR~TUBAAN
BERAU~TALISAYAN~1~BEU01~TALISAYAN~BUMI JAYA
BERAU~TALISAYAN~2~BEU01~TALISAYAN~CAMPUR SARI
BERAU~TALISAYAN~3~BEU01~TALISAYAN~DUMARING
BERAU~TALISAYAN~4~BEU01~TALISAYAN~EKA SAPTA
BERAU~TALISAYAN~5~BEU01~TALISAYAN~PURNA SARI JAYA
BERAU~TALISAYAN~6~BEU01~TALISAYAN~SUKA MURYA
BERAU~TALISAYAN~7~BEU01~TALISAYAN~SUMBER MULIA
BERAU~TALISAYAN~8~BEU01~TALISAYAN~TALISAYAN
BERAU~TALISAYAN~9~BEU01~TALISAYAN~TUNGGAL BUMI
BERAU~TANJUNG REDEB~1~BEU01~TANJUNG REDEB~GUNUNG PANJANG
BERAU~TANJUNG REDEB~2~BEU01~TANJUNG REDEB~BUGIS
BERAU~TANJUNG REDEB~3~BEU01~TANJUNG REDEB~GAYAM
BERAU~TANJUNG REDEB~4~BEU01~TANJUNG REDEB~KARANG AMBUN
BERAU~TANJUNG REDEB~5~BEU01~TANJUNG REDEB~SEI/SUNGAI BEDUNGUN
BERAU~TANJUNG REDEB~6~BEU01~TANJUNG REDEB~TANJUNG REDEB
BERAU~TELUK BAYUR~1~BEU01~TELUK BAYUR~RINDING
BERAU~TELUK BAYUR~2~BEU01~TELUK BAYUR~TELUK BAYUR
BERAU~TELUK BAYUR~3~BEU01~TELUK BAYUR~TUMBIT MELAYU
BERAU~TELUK BAYUR~4~BEU01~TELUK BAYUR~LABANAN JAYA
BERAU~TELUK BAYUR~5~BEU01~TELUK BAYUR~LABANAN MAKARTI
BERAU~TELUK BAYUR~6~BEU01~TELUK BAYUR~LABANAN MAKMUR
