ASMAT~AGATS~1~AGT01~AGATS~ASUWETSY
ASMAT~SUATOR~7~AGT01~SUATOR~KARBIS
ASMAT~SUATOR~8~AGT01~SUATOR~PATIPI PATIPPI
ASMAT~SUATOR~9~AGT01~SUATOR~PIRABANAK
ASMAT~SUATOR~10~AGT01~SUATOR~SIPANAP ASAREP
ASMAT~SUATOR~11~AGT01~SUATOR~SOMNAK
ASMAT~SUATOR~12~AGT01~SUATOR~SORAI
ASMAT~SUATOR~13~AGT01~SUATOR~VAKAM
ASMAT~SUATOR~14~AGT01~SUATOR~WAGABUS
ASMAT~SUATOR~15~AGT01~SUATOR~WOUTU BRASA
ASMAT~SUATOR~16~AGT01~SUATOR~WOUTU KOLOF
ASMAT~SUATOR~17~AGT01~SUATOR~WOWI
ASMAT~SURU-SURU~1~AGT01~SURU-SURU~ABAMU
ASMAT~SURU-SURU~2~AGT01~SURU-SURU~AGANI
ASMAT~SURU-SURU~3~AGT01~SURU-SURU~AMOR
ASMAT~SURU-SURU~4~AGT01~SURU-SURU~AOU
ASMAT~SURU-SURU~5~AGT01~SURU-SURU~AS
ASMAT~SURU-SURU~6~AGT01~SURU-SURU~ATAT
ASMAT~SURU-SURU~7~AGT01~SURU-SURU~AYIR
ASMAT~SURU-SURU~8~AGT01~SURU-SURU~BERIP
ASMAT~SURU-SURU~9~AGT01~SURU-SURU~BU
ASMAT~SURU-SURU~10~AGT01~SURU-SURU~ER
ASMAT~SURU-SURU~11~AGT01~SURU-SURU~ERMA
ASMAT~SURU-SURU~12~AGT01~SURU-SURU~EROKO
ASMAT~SURU-SURU~13~AGT01~SURU-SURU~ESMAPAN
ASMAT~SURU-SURU~14~AGT01~SURU-SURU~JIFAK
ASMAT~SURU-SURU~15~AGT01~SURU-SURU~JIPAWER
ASMAT~SURU-SURU~16~AGT01~SURU-SURU~KAPI
ASMAT~SURU-SURU~17~AGT01~SURU-SURU~KOBA
ASMAT~SURU-SURU~18~AGT01~SURU-SURU~KOMOR
ASMAT~SURU-SURU~19~AGT01~SURU-SURU~MUMUGU
ASMAT~SURU-SURU~20~AGT01~SURU-SURU~MUNU
ASMAT~SURU-SURU~21~AGT01~SURU-SURU~NAKAI
ASMAT~SURU-SURU~22~AGT01~SURU-SURU~PAR
ASMAT~SURU-SURU~23~AGT01~SURU-SURU~PUPIS
ASMAT~SURU-SURU~24~AGT01~SURU-SURU~SAGAPU
ASMAT~SURU-SURU~25~AGT01~SURU-SURU~SAWA
ASMAT~SURU-SURU~26~AGT01~SURU-SURU~SEE
ASMAT~SURU-SURU~27~AGT01~SURU-SURU~SONA
ASMAT~SURU-SURU~28~AGT01~SURU-SURU~SURUSURU
ASMAT~SURU-SURU~29~AGT01~SURU-SURU~TII
ASMAT~SURU-SURU~30~AGT01~SURU-SURU~TOMOR
ASMAT~UNIR SIRAU~1~AGT01~UNIR SIRAU~UNIR SIRAU
